Prod_Order_No,Component_Item_ID,Required_Qty,Available_Qty,Shortage_Qty
MO00001,RM0111,43,24,19
MO00001,RM0476,301,151,150
MO00001,RM0486,215,23,192
MO00001,RM0234,129,71,58
MO00001,RM0422,172,4,168
MO00001,RM0352,86,47,39
MO00002,RM0145,1064,943,121
MO00002,RM0156,665,365,300
MO00002,RM0446,532,16,516
MO00002,RM0224,399,357,42
MO00002,RM0434,665,162,503
MO00003,RM0341,860,237,623
MO00003,RM0377,860,189,671
MO00003,RM0436,860,484,376
MO00003,RM0150,1290,668,622
MO00003,RM0128,1720,356,1364
MO00003,RM0251,1505,973,532
MO00003,RM0387,1075,295,780
MO00004,RM0381,1477,1054,423
MO00004,RM0277,422,118,304
MO00004,RM0112,1688,1248,440
MO00004,RM0352,422,3,419
MO00004,RM0191,1266,1213,53
MO00004,RM0255,211,166,45
MO00004,RM0325,844,793,51
MO00005,RM0222,348,208,140
MO00005,RM0485,609,406,203
MO00005,RM0181,435,427,8
MO00005,RM0224,174,131,43
MO00005,RM0420,435,376,59
MO00005,RM0332,348,292,56
MO00006,RM0405,771,512,259
MO00006,RM0214,1799,1709,90
MO00006,RM0331,1542,337,1205
MO00006,RM0462,514,188,326
MO00007,RM0366,142,38,104
MO00007,RM0290,426,135,291
MO00007,RM0490,71,49,22
MO00007,RM0312,568,407,161
MO00007,RM0235,284,102,182
MO00007,RM0234,71,37,34
MO00007,RM0454,426,321,105
MO00007,RM0476,568,250,318
MO00008,RM0405,1170,589,581
MO00008,RM0214,2730,1902,828
MO00008,RM0331,2340,891,1449
MO00008,RM0462,780,687,93
MO00009,RM0466,2928,2689,239
MO00009,RM0482,2196,288,1908
MO00009,RM0342,2196,1473,723
MO00009,RM0172,2562,1869,693
MO00009,RM0130,732,63,669
MO00010,RM0446,1420,608,812
MO00010,RM0451,1065,512,553
MO00010,RM0465,2840,126,2714
MO00010,RM0195,1065,50,1015
MO00010,RM0360,2130,2028,102
MO00010,RM0224,710,403,307
MO00011,RM0279,1496,1163,333
MO00011,RM0236,1122,972,150
MO00011,RM0464,374,50,324
MO00011,RM0233,1870,1544,326
MO00012,RM0341,1420,374,1046
MO00012,RM0377,1420,843,577
MO00012,RM0436,1420,388,1032
MO00012,RM0150,2130,798,1332
MO00012,RM0128,2840,1815,1025
MO00012,RM0251,2485,1530,955
MO00012,RM0387,1775,91,1684
MO00013,RM0128,355,136,219
MO00013,RM0227,568,230,338
MO00013,RM0205,355,197,158
MO00013,RM0188,284,112,172
MO00013,RM0337,213,26,187
MO00013,RM0334,284,23,261
MO00013,RM0435,426,85,341
MO00013,RM0208,426,124,302
MO00014,RM0466,1176,639,537
MO00014,RM0482,882,147,735
MO00014,RM0342,882,41,841
MO00014,RM0172,1029,924,105
MO00014,RM0130,294,172,122
MO00015,RM0363,1130,739,391
MO00015,RM0341,226,10,216
MO00015,RM0205,678,325,353
MO00015,RM0356,452,170,282
MO00015,RM0238,678,344,334
MO00015,RM0325,452,212,240
MO00015,RM0445,1356,1272,84
MO00016,RM0384,1146,584,562
MO00016,RM0156,573,541,32
MO00016,RM0102,764,79,685
MO00016,RM0307,955,541,414
MO00016,RM0101,764,352,412
MO00016,RM0278,1146,1012,134
MO00016,RM0468,573,563,10
MO00017,RM0111,305,259,46
MO00017,RM0476,2135,340,1795
MO00017,RM0486,1525,894,631
MO00017,RM0234,915,239,676
MO00017,RM0422,1220,1065,155
MO00017,RM0352,610,126,484
MO00018,RM0378,60,52,8
MO00018,RM0446,140,69,71
MO00018,RM0290,40,18,22
MO00018,RM0427,120,82,38
MO00018,RM0231,40,18,22
MO00019,RM0113,632,109,523
MO00019,RM0466,1264,797,467
MO00019,RM0500,2212,15,2197
MO00019,RM0450,1264,365,899
MO00019,RM0424,1580,556,1024
MO00020,RM0349,441,306,135
MO00020,RM0491,504,444,60
MO00020,RM0290,126,74,52
MO00020,RM0180,189,9,180
MO00020,RM0150,189,171,18
MO00020,RM0296,126,103,23
MO00020,RM0288,252,88,164
MO00021,RM0140,189,180,9
MO00021,RM0320,63,18,45
MO00021,RM0457,441,18,423
MO00021,RM0184,441,207,234
MO00021,RM0368,126,71,55
MO00021,RM0285,126,76,50
MO00022,RM0446,2422,1804,618
MO00022,RM0312,2768,1848,920
MO00022,RM0229,2076,1958,118
MO00022,RM0121,1730,1133,597
MO00022,RM0462,1730,147,1583
MO00022,RM0425,2422,1025,1397
MO00022,RM0255,1384,1292,92
MO00023,RM0483,1323,562,761
MO00023,RM0328,756,428,328
MO00023,RM0411,1512,332,1180
MO00023,RM0417,1134,1129,5
MO00023,RM0335,1323,181,1142
MO00023,RM0116,189,55,134
MO00023,RM0152,1323,1179,144
MO00024,RM0239,198,179,19
MO00024,RM0237,33,18,15
MO00024,RM0303,99,17,82
