PO_No,Supplier_ID,Item_ID,Ordered_Qty,PO_Date,Expected_Receipt_Date
PO00001,SUP042,RM0269,478,2026-01-01,2026-01-22
PO00002,SUP086,RM0271,939,2025-10-22,2025-10-27
PO00003,SUP010,RM0428,735,2025-04-08,2025-05-01
PO00004,SUP031,RM0279,991,2025-05-17,2025-06-05
PO00005,SUP065,RM0352,78,2026-05-11,2026-05-16
PO00006,SUP059,RM0283,210,2025-10-21,2025-11-09
PO00007,SUP052,RM0318,70,2025-07-25,2025-08-23
PO00008,SUP019,RM0178,142,2025-07-04,2025-07-14
PO00009,SUP069,RM0273,514,2025-03-08,2025-03-14
PO00010,SUP031,RM0242,712,2025-07-06,2025-07-21
PO00011,SUP069,RM0445,976,2025-04-27,2025-05-27
PO00012,SUP067,RM0367,637,2026-05-28,2026-06-03
PO00013,SUP004,RM0483,188,2025-04-26,2025-05-02
PO00014,SUP090,RM0392,777,2025-09-21,2025-10-19
PO00015,SUP083,RM0449,208,2026-01-26,2026-02-17
PO00016,SUP068,RM0400,184,2025-01-04,2025-01-30
PO00017,SUP013,RM0403,71,2025-03-26,2025-04-25
PO00018,SUP052,RM0286,249,2025-10-15,2025-11-07
PO00019,SUP031,RM0250,254,2026-05-18,2026-06-07
PO00020,SUP097,RM0253,544,2025-03-26,2025-04-02
PO00021,SUP076,RM0467,758,2026-04-22,2026-05-22
PO00022,SUP045,RM0486,466,2026-05-12,2026-05-25
PO00023,SUP011,RM0211,234,2026-02-02,2026-03-02
PO00024,SUP099,RM0498,534,2025-10-05,2025-10-29
PO00025,SUP052,RM0342,728,2025-08-05,2025-08-20
PO00026,SUP071,RM0344,476,2025-05-02,2025-05-14
PO00027,SUP054,RM0435,937,2026-01-08,2026-02-02
PO00028,SUP042,RM0376,626,2025-05-11,2025-05-23
PO00029,SUP004,RM0174,189,2025-08-03,2025-08-30
PO00030,SUP003,RM0344,121,2026-06-24,2026-07-11
PO00031,SUP090,RM0221,438,2025-11-06,2025-12-04
PO00032,SUP022,RM0268,209,2025-09-02,2025-09-09
PO00033,SUP011,RM0220,281,2025-06-03,2025-06-15
PO00034,SUP099,RM0126,209,2025-09-25,2025-10-02
PO00035,SUP019,RM0222,872,2025-01-26,2025-02-14
PO00036,SUP067,RM0244,118,2025-11-08,2025-11-20
PO00037,SUP015,RM0290,69,2025-08-26,2025-09-14
PO00038,SUP049,RM0259,676,2025-10-06,2025-11-04
PO00039,SUP039,RM0284,876,2026-04-22,2026-05-15
PO00040,SUP023,RM0440,219,2025-12-16,2026-01-11
PO00041,SUP060,RM0303,815,2026-03-13,2026-03-23
PO00042,SUP036,RM0287,724,2025-11-29,2025-12-04
PO00043,SUP056,RM0312,645,2026-01-13,2026-02-04
PO00044,SUP020,RM0386,466,2025-04-12,2025-04-24
PO00045,SUP029,RM0415,85,2025-11-27,2025-12-11
PO00046,SUP038,RM0489,323,2025-04-30,2025-05-23
PO00047,SUP060,RM0235,677,2025-12-16,2026-01-12
PO00048,SUP029,RM0353,210,2025-11-10,2025-11-29
PO00049,SUP006,RM0317,455,2025-06-06,2025-06-14
PO00050,SUP077,RM0101,491,2026-01-27,2026-02-26
PO00051,SUP089,RM0202,670,2026-02-21,2026-03-11
PO00052,SUP091,RM0392,182,2025-02-05,2025-03-05
PO00053,SUP100,RM0207,458,2025-04-12,2025-04-26
PO00054,SUP087,RM0452,516,2026-02-11,2026-03-05
PO00055,SUP056,RM0147,168,2025-12-23,2026-01-17
PO00056,SUP088,RM0132,426,2026-03-27,2026-04-02
PO00057,SUP018,RM0344,978,2025-10-29,2025-11-25
PO00058,SUP022,RM0227,780,2025-02-21,2025-02-27
PO00059,SUP047,RM0211,624,2025-08-17,2025-08-27
PO00060,SUP006,RM0192,608,2026-05-23,2026-06-20
PO00061,SUP100,RM0381,796,2026-01-15,2026-01-21
PO00062,SUP046,RM0313,423,2026-03-26,2026-04-14
PO00063,SUP057,RM0410,800,2026-02-06,2026-02-14
PO00064,SUP037,RM0240,545,2025-08-24,2025-09-15
PO00065,SUP048,RM0476,173,2025-12-24,2026-01-01
PO00066,SUP100,RM0178,622,2025-11-30,2025-12-23
PO00067,SUP083,RM0431,677,2025-12-11,2026-01-03
PO00068,SUP040,RM0337,886,2025-05-10,2025-05-25
PO00069,SUP044,RM0363,172,2025-06-06,2025-06-27
PO00070,SUP075,RM0399,950,2026-04-30,2026-05-06
PO00071,SUP078,RM0139,320,2025-09-20,2025-10-04
PO00072,SUP043,RM0452,400,2025-03-25,2025-04-20
PO00073,SUP098,RM0297,293,2025-03-31,2025-04-19
PO00074,SUP014,RM0169,330,2025-11-06,2025-11-18
PO00075,SUP035,RM0325,627,2025-11-12,2025-12-09
PO00076,SUP039,RM0220,165,2025-02-19,2025-03-13
PO00077,SUP033,RM0259,584,2025-09-21,2025-10-17
PO00078,SUP079,RM0472,511,2025-10-26,2025-11-23
PO00079,SUP044,RM0311,50,2025-11-19,2025-12-09
PO00080,SUP090,RM0131,286,2026-02-21,2026-03-20
PO00081,SUP088,RM0342,693,2025-02-22,2025-03-19
PO00082,SUP063,RM0473,71,2026-01-07,2026-01-29
PO00083,SUP090,RM0268,840,2025-10-13,2025-10-24
PO00084,SUP038,RM0283,662,2025-06-26,2025-07-20
PO00085,SUP060,RM0124,577,2025-02-28,2025-03-08
PO00086,SUP024,RM0354,949,2025-03-24,2025-04-17
PO00087,SUP065,RM0405,878,2025-10-30,2025-11-13
PO00088,SUP002,RM0245,218,2026-04-15,2026-05-15
PO00089,SUP020,RM0485,695,2025-01-21,2025-02-09
PO00090,SUP068,RM0346,354,2026-01-02,2026-01-09
PO00091,SUP075,RM0335,874,2026-01-05,2026-01-23
PO00092,SUP067,RM0272,616,2025-05-25,2025-06-06
PO00093,SUP042,RM0308,727,2025-05-26,2025-06-20
PO00094,SUP045,RM0202,821,2025-02-07,2025-02-24
PO00095,SUP046,RM0217,484,2025-02-27,2025-03-09
PO00096,SUP041,RM0394,540,2025-12-01,2025-12-08
PO00097,SUP097,RM0364,145,2025-10-29,2025-11-10
PO00098,SUP029,RM0403,68,2026-04-05,2026-04-29
PO00099,SUP023,RM0342,104,2026-01-08,2026-02-04
PO00100,SUP059,RM0427,437,2025-05-23,2025-06-14
PO00101,SUP001,RM0205,131,2025-04-17,2025-05-01
PO00102,SUP065,RM0338,763,2025-11-30,2025-12-27
PO00103,SUP036,RM0151,743,2025-09-10,2025-09-23
PO00104,SUP024,RM0450,214,2025-11-08,2025-11-24
PO00105,SUP067,RM0353,221,2026-04-02,2026-04-16
PO00106,SUP047,RM0197,697,2025-04-20,2025-04-25
PO00107,SUP092,RM0117,172,2025-08-02,2025-08-24
PO00108,SUP035,RM0284,298,2025-02-21,2025-03-13
PO00109,SUP075,RM0319,536,2025-05-12,2025-05-20
PO00110,SUP094,RM0172,657,2025-03-10,2025-03-30
PO00111,SUP079,RM0234,972,2025-08-20,2025-09-02
PO00112,SUP056,RM0356,540,2025-08-17,2025-09-11
PO00113,SUP091,RM0289,162,2025-07-16,2025-07-28
PO00114,SUP060,RM0393,595,2025-11-19,2025-12-01
PO00115,SUP038,RM0447,409,2026-01-23,2026-02-03
PO00116,SUP020,RM0276,491,2025-04-18,2025-04-27
PO00117,SUP059,RM0395,101,2026-04-23,2026-05-08
PO00118,SUP059,RM0442,976,2026-06-21,2026-06-30
PO00119,SUP001,RM0286,523,2025-10-09,2025-10-23
PO00120,SUP035,RM0427,670,2025-12-01,2025-12-20
PO00121,SUP060,RM0196,701,2026-06-20,2026-07-06
PO00122,SUP100,RM0164,122,2026-03-01,2026-03-17
PO00123,SUP043,RM0282,547,2025-04-21,2025-05-08
PO00124,SUP017,RM0136,364,2025-12-15,2025-12-20
PO00125,SUP098,RM0450,447,2025-10-31,2025-11-25
PO00126,SUP003,RM0448,953,2026-06-17,2026-07-14
PO00127,SUP016,RM0114,264,2025-11-05,2025-11-17
PO00128,SUP092,RM0462,396,2025-04-14,2025-04-23
PO00129,SUP066,RM0489,633,2026-01-15,2026-02-11
PO00130,SUP089,RM0359,150,2026-06-24,2026-07-02
PO00131,SUP018,RM0131,656,2025-09-10,2025-10-10
PO00132,SUP022,RM0441,583,2025-03-04,2025-04-01
PO00133,SUP035,RM0320,810,2025-10-01,2025-10-30
PO00134,SUP021,RM0338,949,2026-01-12,2026-02-09
PO00135,SUP090,RM0278,662,2026-04-27,2026-05-27
PO00136,SUP018,RM0431,414,2025-04-30,2025-05-30
PO00137,SUP095,RM0149,281,2025-06-09,2025-07-02
PO00138,SUP051,RM0349,888,2026-01-21,2026-02-05
PO00139,SUP001,RM0294,249,2026-05-29,2026-06-07
PO00140,SUP023,RM0150,696,2026-06-13,2026-06-26
PO00141,SUP033,RM0180,959,2025-03-15,2025-03-28
PO00142,SUP055,RM0120,1000,2026-01-27,2026-02-25
PO00143,SUP033,RM0454,913,2025-10-31,2025-11-23
PO00144,SUP048,RM0159,484,2026-01-31,2026-02-15
PO00145,SUP057,RM0117,530,2025-05-19,2025-06-08
PO00146,SUP056,RM0150,827,2025-09-11,2025-09-26
PO00147,SUP094,RM0114,508,2026-02-04,2026-02-12
PO00148,SUP094,RM0244,483,2025-05-13,2025-05-24
PO00149,SUP008,RM0435,773,2025-06-03,2025-06-15
PO00150,SUP015,RM0161,141,2026-01-23,2026-02-22
PO00151,SUP034,RM0479,289,2026-03-04,2026-03-18
PO00152,SUP005,RM0385,713,2026-05-30,2026-06-07
PO00153,SUP092,RM0423,875,2025-07-10,2025-07-26
PO00154,SUP034,RM0433,153,2026-01-02,2026-01-13
PO00155,SUP055,RM0490,101,2025-08-23,2025-09-13
PO00156,SUP014,RM0237,377,2026-05-25,2026-06-05
PO00157,SUP098,RM0389,79,2025-10-17,2025-11-15
PO00158,SUP026,RM0364,364,2025-03-17,2025-03-23
PO00159,SUP028,RM0382,766,2025-04-02,2025-04-21
PO00160,SUP010,RM0386,411,2026-06-05,2026-06-25
PO00161,SUP029,RM0240,285,2025-03-19,2025-03-28
PO00162,SUP009,RM0489,101,2025-02-20,2025-03-15
PO00163,SUP018,RM0416,661,2026-04-04,2026-04-20
PO00164,SUP092,RM0430,260,2026-02-26,2026-03-19
PO00165,SUP045,RM0208,542,2025-11-09,2025-12-01
PO00166,SUP025,RM0429,549,2026-02-04,2026-02-24
PO00167,SUP075,RM0184,52,2025-07-23,2025-08-05
PO00168,SUP095,RM0241,812,2026-06-23,2026-07-19
PO00169,SUP033,RM0402,965,2026-04-12,2026-05-08
PO00170,SUP039,RM0498,180,2025-09-07,2025-10-03
PO00171,SUP014,RM0166,692,2025-08-09,2025-08-28
PO00172,SUP088,RM0443,893,2025-03-01,2025-03-22
PO00173,SUP050,RM0122,961,2026-03-29,2026-04-23
PO00174,SUP042,RM0113,818,2025-08-13,2025-08-29
PO00175,SUP055,RM0380,70,2026-02-04,2026-02-20
PO00176,SUP008,RM0433,871,2026-04-29,2026-05-12
PO00177,SUP053,RM0378,447,2026-04-21,2026-05-12
PO00178,SUP090,RM0469,506,2026-04-25,2026-05-07
PO00179,SUP027,RM0169,153,2026-05-24,2026-06-10
PO00180,SUP014,RM0169,206,2025-12-19,2026-01-14
PO00181,SUP089,RM0475,146,2025-12-19,2026-01-10
PO00182,SUP021,RM0439,254,2026-05-13,2026-05-28
PO00183,SUP073,RM0264,536,2025-08-26,2025-09-17
PO00184,SUP001,RM0376,235,2025-02-22,2025-03-19
PO00185,SUP040,RM0395,661,2025-11-22,2025-12-02
PO00186,SUP061,RM0368,111,2025-10-09,2025-10-15
PO00187,SUP080,RM0234,631,2025-04-09,2025-04-29
PO00188,SUP098,RM0489,596,2026-04-29,2026-05-20
PO00189,SUP074,RM0199,832,2026-04-07,2026-05-02
PO00190,SUP017,RM0111,652,2025-08-21,2025-09-01
PO00191,SUP100,RM0202,442,2025-02-06,2025-02-27
PO00192,SUP064,RM0294,225,2026-04-15,2026-04-23
PO00193,SUP090,RM0249,254,2025-12-02,2025-12-23
PO00194,SUP016,RM0114,951,2025-01-20,2025-02-04
PO00195,SUP065,RM0388,983,2025-10-18,2025-11-12
PO00196,SUP033,RM0376,781,2025-04-22,2025-05-15
PO00197,SUP037,RM0223,500,2026-01-22,2026-02-21
PO00198,SUP073,RM0475,558,2025-08-07,2025-08-25
PO00199,SUP078,RM0446,791,2025-02-16,2025-03-01
PO00200,SUP061,RM0299,448,2025-07-11,2025-07-28
PO00201,SUP038,RM0393,99,2026-01-01,2026-01-30
PO00202,SUP052,RM0473,214,2026-05-16,2026-06-04
PO00203,SUP034,RM0220,168,2026-02-14,2026-03-13
PO00204,SUP026,RM0464,587,2026-05-15,2026-06-08
PO00205,SUP026,RM0399,79,2025-03-11,2025-03-30
PO00206,SUP055,RM0469,604,2025-01-28,2025-02-21
PO00207,SUP076,RM0262,981,2025-03-13,2025-03-27
PO00208,SUP071,RM0366,915,2026-05-18,2026-05-26
PO00209,SUP095,RM0159,127,2025-09-30,2025-10-06
PO00210,SUP024,RM0151,501,2025-02-23,2025-03-02
PO00211,SUP003,RM0475,670,2025-05-07,2025-05-19
PO00212,SUP026,RM0415,356,2025-04-18,2025-05-13
PO00213,SUP070,RM0406,681,2025-11-03,2025-11-09
PO00214,SUP039,RM0207,611,2026-06-18,2026-07-16
PO00215,SUP032,RM0127,582,2025-05-19,2025-05-27
PO00216,SUP025,RM0457,786,2025-10-03,2025-10-21
PO00217,SUP019,RM0379,712,2026-04-08,2026-05-03
PO00218,SUP044,RM0163,827,2025-04-09,2025-04-29
PO00219,SUP079,RM0388,585,2026-04-07,2026-05-04
PO00220,SUP084,RM0486,994,2026-04-17,2026-04-27
PO00221,SUP040,RM0155,499,2026-04-08,2026-04-26
PO00222,SUP005,RM0147,810,2025-01-22,2025-02-06
PO00223,SUP083,RM0462,114,2025-02-14,2025-02-25
