Sales_Order_No,Customer_ID,FG_Item_ID,Ordered_Qty,Unit_Price,Order_Date,Requested_Delivery_Date,Sales_Status
SO00001,CUST043,FG0020,231,49678,2026-04-23,2026-04-30,Released
SO00002,CUST089,FG0070,160,38038,2025-08-10,2025-08-19,Open
SO00003,CUST052,FG0001,270,65718,2025-10-12,2025-10-27,Shipped
SO00004,CUST008,FG0074,120,54902,2025-04-01,2025-04-13,Released
SO00005,CUST074,FG0045,93,71913,2025-03-15,2025-04-01,Released
SO00006,CUST048,FG0082,264,47023,2025-07-14,2025-07-30,Shipped
SO00007,CUST084,FG0019,73,30161,2026-05-04,2026-05-11,Open
SO00008,CUST031,FG0004,203,14414,2025-05-13,2025-05-27,Open
SO00009,CUST068,FG0014,92,19337,2025-05-08,2025-05-15,Released
SO00010,CUST056,FG0033,152,27274,2026-06-08,2026-07-03,Released
SO00011,CUST077,FG0015,175,11391,2025-11-24,2025-12-08,Released
SO00012,CUST023,FG0026,250,74118,2025-04-28,2025-05-16,Shipped
SO00013,CUST080,FG0019,102,11683,2025-04-25,2025-05-11,Shipped
SO00014,CUST014,FG0067,39,30225,2025-05-23,2025-06-03,Released
SO00015,CUST062,FG0029,264,12364,2025-03-26,2025-04-16,Shipped
SO00016,CUST001,FG0039,245,60112,2025-09-16,2025-09-24,Open
SO00017,CUST072,FG0062,16,17473,2026-01-02,2026-01-13,Open
SO00018,CUST021,FG0021,203,16822,2026-03-09,2026-03-23,Released
SO00019,CUST004,FG0008,150,14204,2025-05-09,2025-05-29,Shipped
SO00020,CUST062,FG0044,177,10254,2025-10-31,2025-11-15,Shipped
SO00021,CUST080,FG0080,92,47961,2025-06-14,2025-07-08,Open
SO00022,CUST020,FG0040,158,18774,2026-04-14,2026-04-26,Open
SO00023,CUST005,FG0009,248,49080,2026-02-27,2026-03-19,Open
SO00024,CUST099,FG0027,176,69604,2025-08-13,2025-09-05,Open
SO00025,CUST087,FG0061,111,37736,2025-07-22,2025-08-10,Shipped
SO00026,CUST029,FG0011,187,22608,2026-02-06,2026-03-01,Open
SO00027,CUST045,FG0072,102,51174,2025-01-26,2025-02-11,Released
SO00028,CUST022,FG0097,300,46655,2025-09-07,2025-09-12,Shipped
SO00029,CUST010,FG0085,224,72332,2025-11-11,2025-11-17,Released
SO00030,CUST050,FG0087,65,34012,2025-06-29,2025-07-16,Open
SO00031,CUST024,FG0072,127,48247,2025-12-31,2026-01-17,Shipped
SO00032,CUST026,FG0066,55,70444,2025-02-15,2025-03-02,Open
SO00033,CUST025,FG0032,114,18012,2025-03-10,2025-03-24,Shipped
SO00034,CUST019,FG0047,20,61361,2026-04-15,2026-04-30,Released
SO00035,CUST010,FG0021,233,72139,2026-03-22,2026-03-30,Released
SO00036,CUST089,FG0087,171,24950,2026-06-11,2026-06-30,Released
SO00037,CUST067,FG0064,173,65542,2026-05-17,2026-05-27,Shipped
SO00038,CUST083,FG0076,196,38339,2025-10-11,2025-10-20,Released
SO00039,CUST016,FG0051,116,52236,2026-03-18,2026-04-06,Released
SO00040,CUST063,FG0009,116,34385,2025-03-13,2025-03-18,Released
SO00041,CUST021,FG0052,108,35911,2026-04-15,2026-04-25,Open
SO00042,CUST073,FG0009,200,32923,2025-05-22,2025-06-16,Shipped
SO00043,CUST084,FG0064,82,24725,2026-04-07,2026-04-23,Open
SO00044,CUST084,FG0045,66,59307,2025-04-06,2025-04-12,Shipped
SO00045,CUST069,FG0070,224,53476,2026-01-27,2026-02-03,Open
SO00046,CUST048,FG0089,259,72675,2026-04-30,2026-05-18,Shipped
SO00047,CUST002,FG0021,148,12331,2025-04-14,2025-04-19,Released
SO00048,CUST064,FG0065,291,62064,2025-08-17,2025-09-06,Open
SO00049,CUST006,FG0039,208,49917,2025-09-29,2025-10-20,Open
SO00050,CUST076,FG0076,270,62162,2025-02-11,2025-02-25,Released
SO00051,CUST087,FG0047,256,50633,2026-05-02,2026-05-20,Open
SO00052,CUST064,FG0061,138,57894,2026-06-03,2026-06-11,Released
SO00053,CUST011,FG0063,281,13933,2026-06-04,2026-06-28,Open
SO00054,CUST027,FG0037,95,41460,2025-08-31,2025-09-24,Open
SO00055,CUST058,FG0054,153,77156,2026-01-14,2026-02-08,Shipped
SO00056,CUST009,FG0062,77,33828,2025-11-06,2025-11-27,Open
SO00057,CUST045,FG0044,272,14711,2025-08-24,2025-09-14,Shipped
SO00058,CUST003,FG0077,270,48535,2025-04-22,2025-04-30,Open
SO00059,CUST097,FG0086,276,36254,2025-02-01,2025-02-09,Released
SO00060,CUST082,FG0029,42,45875,2025-10-06,2025-10-21,Open
SO00061,CUST039,FG0023,76,29868,2026-01-05,2026-01-22,Open
SO00062,CUST005,FG0067,30,10116,2026-01-05,2026-01-28,Released
SO00063,CUST052,FG0046,35,55315,2025-04-28,2025-05-18,Open
SO00064,CUST097,FG0083,155,18098,2025-01-06,2025-01-31,Shipped
SO00065,CUST051,FG0062,115,55044,2026-03-01,2026-03-21,Shipped
SO00066,CUST084,FG0076,199,10603,2025-07-20,2025-07-28,Shipped
SO00067,CUST084,FG0051,298,22271,2025-07-04,2025-07-13,Open
SO00068,CUST029,FG0082,134,30669,2025-02-20,2025-03-09,Open
SO00069,CUST007,FG0081,69,16611,2025-09-22,2025-10-05,Shipped
SO00070,CUST100,FG0011,78,42499,2025-10-11,2025-10-16,Open
SO00071,CUST069,FG0072,71,74413,2025-02-17,2025-03-04,Shipped
SO00072,CUST039,FG0004,19,27861,2026-06-22,2026-06-29,Shipped
SO00073,CUST073,FG0068,139,14283,2026-04-26,2026-05-17,Released
SO00074,CUST028,FG0018,204,56345,2026-06-07,2026-06-28,Released
SO00075,CUST074,FG0018,275,56607,2025-10-29,2025-11-21,Shipped
SO00076,CUST032,FG0035,203,48998,2025-05-14,2025-05-27,Released
SO00077,CUST085,FG0065,296,76338,2025-05-01,2025-05-23,Shipped
SO00078,CUST073,FG0052,214,73416,2025-05-25,2025-06-15,Shipped
SO00079,CUST076,FG0086,95,69910,2025-07-31,2025-08-24,Released
SO00080,CUST061,FG0081,196,46778,2025-01-22,2025-02-10,Released
SO00081,CUST065,FG0019,248,11148,2025-11-22,2025-11-30,Shipped
SO00082,CUST077,FG0026,257,27881,2025-04-29,2025-05-13,Open
SO00083,CUST048,FG0013,88,78819,2025-02-19,2025-03-01,Shipped
SO00084,CUST033,FG0024,173,11576,2026-03-20,2026-03-30,Open
SO00085,CUST048,FG0046,298,25586,2025-07-07,2025-07-27,Shipped
SO00086,CUST064,FG0063,55,44317,2025-09-08,2025-09-18,Shipped
SO00087,CUST095,FG0093,22,71986,2025-12-20,2025-12-28,Released
SO00088,CUST001,FG0033,194,75107,2025-05-31,2025-06-10,Shipped
SO00089,CUST098,FG0066,252,33138,2025-11-29,2025-12-11,Shipped
SO00090,CUST027,FG0036,131,22618,2025-11-12,2025-11-20,Open
SO00091,CUST034,FG0097,262,22584,2026-06-12,2026-07-05,Released
SO00092,CUST091,FG0039,51,67438,2025-03-18,2025-04-07,Released
SO00093,CUST027,FG0001,65,66063,2025-09-19,2025-10-11,Released
SO00094,CUST060,FG0034,177,71998,2025-06-25,2025-06-30,Shipped
SO00095,CUST008,FG0091,275,24629,2025-04-13,2025-04-26,Open
SO00096,CUST087,FG0061,167,11890,2026-03-31,2026-04-11,Open
SO00097,CUST055,FG0012,256,37889,2025-08-16,2025-09-02,Open
SO00098,CUST093,FG0035,227,12617,2025-09-24,2025-10-02,Released
SO00099,CUST011,FG0049,234,30974,2025-03-13,2025-03-23,Open
SO00100,CUST026,FG0076,270,21925,2025-10-11,2025-10-27,Open
SO00101,CUST024,FG0019,101,57705,2025-06-21,2025-07-09,Shipped
SO00102,CUST077,FG0084,268,59279,2026-06-21,2026-07-15,Released
SO00103,CUST080,FG0076,106,38970,2025-02-25,2025-03-02,Shipped
SO00104,CUST003,FG0055,288,14665,2026-05-02,2026-05-19,Released
SO00105,CUST033,FG0088,204,55391,2025-05-25,2025-06-08,Shipped
SO00106,CUST098,FG0090,134,52469,2025-07-09,2025-07-28,Open
SO00107,CUST090,FG0024,94,13486,2025-08-30,2025-09-23,Open
SO00108,CUST019,FG0003,52,72101,2025-08-07,2025-08-30,Released
SO00109,CUST010,FG0097,124,44024,2025-01-17,2025-01-28,Open
SO00110,CUST006,FG0017,93,28677,2025-05-23,2025-06-10,Released
SO00111,CUST081,FG0055,243,26339,2025-08-12,2025-08-20,Open
SO00112,CUST074,FG0098,110,60668,2025-07-13,2025-07-22,Shipped
SO00113,CUST068,FG0074,258,28453,2025-01-23,2025-02-06,Shipped
SO00114,CUST043,FG0091,194,57886,2025-07-30,2025-08-14,Open
SO00115,CUST056,FG0053,36,30567,2025-04-19,2025-05-09,Open
SO00116,CUST003,FG0011,260,26237,2025-01-27,2025-02-03,Released
SO00117,CUST051,FG0080,172,42216,2026-02-08,2026-02-17,Released
SO00118,CUST093,FG0029,161,61422,2025-05-15,2025-05-22,Open
SO00119,CUST094,FG0091,60,76213,2025-12-12,2025-12-25,Released
SO00120,CUST043,FG0003,198,63215,2025-03-22,2025-03-31,Released
SO00121,CUST051,FG0013,92,12765,2025-03-04,2025-03-27,Released
SO00122,CUST003,FG0009,255,54852,2026-05-27,2026-06-18,Open
SO00123,CUST077,FG0075,115,25329,2025-09-05,2025-09-18,Open
SO00124,CUST088,FG0081,183,61682,2025-09-14,2025-10-02,Shipped
SO00125,CUST068,FG0047,263,31990,2026-05-09,2026-05-29,Shipped
SO00126,CUST080,FG0046,192,40918,2025-05-02,2025-05-24,Open
SO00127,CUST038,FG0044,206,73418,2026-01-08,2026-01-29,Released
SO00128,CUST043,FG0059,278,72929,2025-01-03,2025-01-08,Open
SO00129,CUST089,FG0031,226,40789,2025-01-14,2025-02-07,Shipped
SO00130,CUST009,FG0055,281,48167,2025-07-31,2025-08-08,Open
SO00131,CUST027,FG0007,146,51479,2025-06-06,2025-07-01,Shipped
SO00132,CUST054,FG0040,292,11342,2026-02-10,2026-03-02,Released
SO00133,CUST053,FG0098,208,37130,2026-01-28,2026-02-03,Open
SO00134,CUST047,FG0090,28,73131,2025-04-18,2025-04-30,Shipped
SO00135,CUST035,FG0070,135,67974,2025-09-21,2025-09-26,Released
SO00136,CUST004,FG0082,195,71679,2026-02-15,2026-02-26,Shipped
SO00137,CUST048,FG0036,246,34863,2026-05-30,2026-06-23,Released
